Error: missing newline in D:\finish\UC_1_registr\..\Parameter\Parameters.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 38.	[MsgId: MMSG-10545]
Action.c(48): web_url("www.advantageonlineshopping.com") highest severity level was "warning", 1870595 body bytes, 13319 header bytes  	[MsgId: MMSG-26388]
Action.c(89): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(89): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(92): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(92): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(95): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(95): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(98): web_url("ALL") started  	[MsgId: MMSG-26355]
Action.c(98): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 38.	[MsgId: MMSG-10545]
Action.c(275): web_remove_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(275): Previous automatically added web header for "Origin" removed  	[MsgId: MMSG-26587]
Action.c(275): web_remove/revert_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(279): web_remove_auto_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(279): Previous automatically added web header for "X-Requested-With" removed  	[MsgId: MMSG-26587]
Action.c(279): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(281): lr_think_time: 4,00 seconds.	[MsgId: MMSG-15948]
Action.c(283): web_url("{userId}") started  	[MsgId: MMSG-26355]
Action.c(283): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/912271310" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 14.	[MsgId: MMSG-10545]
Action.c(36): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(39): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(48): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(48): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 14.	[MsgId: MMSG-10545]
Action.c(48): Warning -26200: At least one of the resources specified by EXTRARES has not been downloaded due to the above error(s)  	[MsgId: MWAR-26200]
Action.c(48): Error -26366: "Text=Advantage Shopping" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(48): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 14.	[MsgId: MMSG-10545]
Action.c(48): web_url("www.advantageonlineshopping.com") highest severity level was "warning", 1870599 body bytes, 13319 header bytes  	[MsgId: MMSG-26388]
Action.c(89): web_add_auto_header("Sec-Fetch-Mode") started  	[MsgId: MMSG-26355]
Action.c(89): web_add_auto_header("Sec-Fetch-Mode") was successful  	[MsgId: MMSG-26392]
Action.c(92): web_add_auto_header("Sec-Fetch-Dest") started  	[MsgId: MMSG-26355]
Action.c(92): web_add_auto_header("Sec-Fetch-Dest") was successful  	[MsgId: MMSG-26392]
Action.c(95): web_add_auto_header("Sec-Fetch-Site") started  	[MsgId: MMSG-26355]
Action.c(95): web_add_auto_header("Sec-Fetch-Site") was successful  	[MsgId: MMSG-26392]
Action.c(98): web_url("ALL") started  	[MsgId: MMSG-26355]
Action.c(98): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/DemoAppConfig/parameters/by_tool/ALL" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 39.	[MsgId: MMSG-10545]
Action.c(113): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(116): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(116): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(119): web_add_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(119): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(122): web_custom_request("GetAccountConfigurationRequest") started  	[MsgId: MMSG-26355]
Action.c(122): web_custom_request("GetAccountConfigurationRequest") was successful, 823 body bytes, 735 header bytes  	[MsgId: MMSG-26386]
Action.c(134): web_url("categories") started  	[MsgId: MMSG-26355]
Action.c(134): Error -27760: Request "https://www.advantageonlineshopping.com/catalog/api/v1/categories" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 39.	[MsgId: MMSG-10545]
Action.c(36): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(39): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(48): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(48): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 39.	[MsgId: MMSG-10545]
Action.c(48): Warning -26200: At least one of the resources specified by EXTRARES has not been downloaded due to the above error(s)  	[MsgId: MWAR-26200]
Action.c(48): Error -26366: "Text=Advantage Shopping" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(48): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 15.	[MsgId: MMSG-10545]
Action.c(36): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(39): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(48): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(48): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 15.	[MsgId: MMSG-10545]
Action.c(48): Warning -26200: At least one of the resources specified by EXTRARES has not been downloaded due to the above error(s)  	[MsgId: MWAR-26200]
Action.c(48): Error -26366: "Text=Advantage Shopping" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(48): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 45.	[MsgId: MMSG-10545]
Action.c(39): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(39): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(48): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(48): ssl_handle_status encounter error : SSL_ERROR_SYSCALL, error id : 0  	[MsgId: MMSG-26000]
Action.c(48): Error -27776: [GENERAL_MSG_CAT_SSL_ERROR]connect to host "www.advantageonlineshopping.com" failed: [10054] Connection reset by peer
This is probably because the SSL protocol version is not supported. Try switching the TLS/SSL version using "web_set_sockets_option" API.  	[MsgId: MERR-27776]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 45.	[MsgId: MMSG-10545]
Action.c(48): Warning -26200: At least one of the resources specified by EXTRARES has not been downloaded due to the above error(s)  	[MsgId: MWAR-26200]
Action.c(48): Error -26366: "Text=Advantage Shopping" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(48): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 45.	[MsgId: MMSG-10545]
Action.c(209): Notify: Transaction "create_new_user" ended with a "Pass" status (Duration: 0,4694 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(211): Notify: Transaction "details_account" started.	[MsgId: MMSG-16999]
Action.c(213): web_add_auto_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(213): web_add_auto_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(218): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(220): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(220): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(226): web_custom_request("AccountCreateRequest_4") started  	[MsgId: MMSG-26355]
Action.c(226): ssl_handle_status encounter error : SSL_ERROR_SYSCALL, error id : 0  	[MsgId: MMSG-26000]
Action.c(226): Error -27776: [GENERAL_MSG_CAT_SSL_ERROR]connect to host "www.advantageonlineshopping.com" failed: [10054] Connection reset by peer
This is probably because the SSL protocol version is not supported. Try switching the TLS/SSL version using "web_set_sockets_option" API.  	[MsgId: MERR-27776]
Action.c(226): Error -26366: "Text=New user created successfully." not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(226): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 20.	[MsgId: MMSG-10545]
Action.c(298): web_add_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(301): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(301): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(304): web_add_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(304): web_add_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(307): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(310): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(310): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(314): web_custom_request("AccountLogoutRequest") started  	[MsgId: MMSG-26355]
Action.c(314): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLogoutRequest" failed  	[MsgId: MERR-27760]
Action.c(314): Error -26366: "Text=Logout Successful" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(314): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 47.	[MsgId: MMSG-10545]
Action.c(239): web_remove/revert_auto_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(241): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(241): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(244): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(244): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(249): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(249): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(256): web_custom_request("AccountLoginRequest") started  	[MsgId: MMSG-26355]
Action.c(256): Error -27760: Request "https://www.advantageonlineshopping.com/accountservice/ws/AccountLoginRequest" failed  	[MsgId: MERR-27760]
Action.c(256): Error -26377: No match found for the requested parameter "userId". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(256): Error -26377: No match found for the requested parameter "Authorization". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 0 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(256): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 23.	[MsgId: MMSG-10545]
Action.c(275): web_remove_auto_header("Origin") started  	[MsgId: MMSG-26355]
Action.c(275): Previous automatically added web header for "Origin" removed  	[MsgId: MMSG-26587]
Action.c(275): web_remove/revert_auto_header("Origin") was successful  	[MsgId: MMSG-26392]
Action.c(279): web_remove_auto_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(279): Previous automatically added web header for "X-Requested-With" removed  	[MsgId: MMSG-26587]
Action.c(279): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(281): lr_think_time: 4,00 seconds.	[MsgId: MMSG-15948]
Action.c(283): web_url("{userId}") started  	[MsgId: MMSG-26355]
Action.c(283): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/carts/690324573" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 49.	[MsgId: MMSG-10545]
Action.c(36): web_add_header("Upgrade-Insecure-Requests") was successful  	[MsgId: MMSG-26392]
Action.c(39): web_add_auto_header("sec-ch-ua") started  	[MsgId: MMSG-26355]
Action.c(39): web_add_auto_header("sec-ch-ua") was successful  	[MsgId: MMSG-26392]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") started  	[MsgId: MMSG-26355]
Action.c(42): web_add_auto_header("sec-ch-ua-mobile") was successful  	[MsgId: MMSG-26392]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") started  	[MsgId: MMSG-26355]
Action.c(45): web_add_auto_header("sec-ch-ua-platform") was successful  	[MsgId: MMSG-26392]
Action.c(48): web_url("www.advantageonlineshopping.com") started  	[MsgId: MMSG-26355]
Action.c(48): Error -27760: Request "https://www.advantageonlineshopping.com/" failed  	[MsgId: MERR-27760]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 49.	[MsgId: MMSG-10545]
Action.c(48): Warning -26200: At least one of the resources specified by EXTRARES has not been downloaded due to the above error(s)  	[MsgId: MWAR-26200]
Action.c(48): Error -26366: "Text=Advantage Shopping" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(48): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 109.	[MsgId: MMSG-10545]
Action.c(197): web_custom_request("GetCountriesRequest") was successful, 4184 body bytes, 761 header bytes  	[MsgId: MMSG-26386]
Action.c(209): Notify: Transaction "create_new_user" ended with a "Pass" status (Duration: 0,6654 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(211): Notify: Transaction "details_account" started.	[MsgId: MMSG-16999]
Action.c(213): web_add_auto_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(213): web_add_auto_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(218): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(220): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(220): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(226): web_custom_request("AccountCreateRequest_4") started  	[MsgId: MMSG-26355]
Action.c(226): Error -26366: "Text=New user created successfully." not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 24.	[MsgId: MMSG-10545]
Action.c(197): web_custom_request("GetCountriesRequest") was successful, 4184 body bytes, 761 header bytes  	[MsgId: MMSG-26386]
Action.c(209): Notify: Transaction "create_new_user" ended with a "Pass" status (Duration: 0,4614 Wasted Time: 0,0000).	[MsgId: MMSG-16871]
Action.c(211): Notify: Transaction "details_account" started.	[MsgId: MMSG-16999]
Action.c(213): web_add_auto_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(213): web_add_auto_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(218): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(220): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(220): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(226): web_custom_request("AccountCreateRequest_4") started  	[MsgId: MMSG-26355]
Action.c(226): Error -26366: "Text=New user created successfully." not found for web_reg_find  	[MsgId: MERR-26366]
End auto log messages stack.	[MsgId: MMSG-10544]


