Error: missing newline in D:\finish\UC_2_Logout\..\Parameter\Parameters.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/css/images/chat_logo.png" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/app/views/" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/css/images/Special-offer.jpg"  	[MsgId: MWAR-26627]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/"  	[MsgId: MWAR-26627]
Action.c(157): web_url("home-page.html") highest severity level was "warning", 6259 body bytes, 1435 header bytes  	[MsgId: MMSG-26388]
Action.c(166): Error: Failed to end Transaction "Open_site" (by name). Please check that you made a call to start transaction operation.	[MsgId: MERR-16985]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/css/images/chat_logo.png" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/app/views/" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/css/images/Special-offer.jpg"  	[MsgId: MWAR-26627]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/"  	[MsgId: MWAR-26627]
Action.c(157): web_url("home-page.html") highest severity level was "warning", 6259 body bytes, 1435 header bytes  	[MsgId: MMSG-26388]
Action.c(166): Error: Failed to end Transaction "Open_site" (by name). Please check that you made a call to start transaction operation.	[MsgId: MERR-16985]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/css/images/chat_logo.png" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/app/views/" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/css/images/Special-offer.jpg"  	[MsgId: MWAR-26627]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/"  	[MsgId: MWAR-26627]
Action.c(157): web_url("home-page.html") highest severity level was "warning", 6259 body bytes, 1435 header bytes  	[MsgId: MMSG-26388]
Action.c(166): Error: Failed to end Transaction "Open_site" (by name). Please check that you made a call to start transaction operation.	[MsgId: MERR-16985]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/css/images/chat_logo.png" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/app/views/" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/css/images/Special-offer.jpg"  	[MsgId: MWAR-26627]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/"  	[MsgId: MWAR-26627]
Action.c(157): web_url("home-page.html") highest severity level was "warning", 6259 body bytes, 1435 header bytes  	[MsgId: MMSG-26388]
Action.c(166): Error: Failed to end Transaction "Open_site" (by name). Please check that you made a call to start transaction operation.	[MsgId: MERR-16985]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(3): Notify: Transaction "UC_2_Logout" started.	[MsgId: MMSG-16999]
Action.c(5): Error: Cannot start transaction "open_site". This Vuser already started a transaction with the same name, and has not yet processed the corresponding lr_end_transaction statement.	[MsgId: MERR-16993]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Starting action Action.	[MsgId: MMSG-15919]
Action.c(3): Notify: Transaction "UC_2_Logout" started.	[MsgId: MMSG-16999]
Action.c(5): Error: Cannot start transaction "open_site". This Vuser already started a transaction with the same name, and has not yet processed the corresponding lr_end_transaction statement.	[MsgId: MERR-16993]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/css/images/chat_logo.png" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/app/views/" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/css/images/Special-offer.jpg"  	[MsgId: MWAR-26627]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/"  	[MsgId: MWAR-26627]
Action.c(157): web_url("home-page.html") highest severity level was "warning", 6259 body bytes, 1435 header bytes  	[MsgId: MMSG-26388]
Action.c(166): Error: Failed to end Transaction "Open_site" (by name). Please check that you made a call to start transaction operation.	[MsgId: MERR-16985]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 2.	[MsgId: MMSG-10545]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/css/images/chat_logo.png" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Found resource "https://www.advantageonlineshopping.com/app/views/" in HTML "https://www.advantageonlineshopping.com/app/views/home-page.html"  	[MsgId: MMSG-26659]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/css/images/Special-offer.jpg"  	[MsgId: MWAR-26627]
Action.c(157): Warning -26627: HTTP Status-Code=404 (Not Found) for "https://www.advantageonlineshopping.com/app/views/"  	[MsgId: MWAR-26627]
Action.c(157): web_url("home-page.html") highest severity level was "warning", 6259 body bytes, 1435 header bytes  	[MsgId: MMSG-26388]
Action.c(166): Error: Failed to end Transaction "Open_site" (by name). Please check that you made a call to start transaction operation.	[MsgId: MERR-16985]
End auto log messages stack.	[MsgId: MMSG-10544]


