Error: missing newline in D:\finish\UC3_Buy\..\Parameter\Parameters.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 7.	[MsgId: MMSG-10545]
Action.c(499): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(502): web_remove_auto_header("X-Requested-With") started  	[MsgId: MMSG-26355]
Action.c(502): Previous automatically added web header for "X-Requested-With" removed  	[MsgId: MMSG-26587]
Action.c(502): web_remove/revert_auto_header("X-Requested-With") was successful  	[MsgId: MMSG-26392]
Action.c(503): web_reg_find started  	[MsgId: MMSG-26355]
Action.c(503): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action.c(509): web_custom_request("{userId}_4") started  	[MsgId: MMSG-26355]
Action.c(509): Error -27760: Request "https://www.advantageonlineshopping.com/order/api/v1/orders/users/276697653" failed  	[MsgId: MERR-27760]
Action.c(509): Error -26366: "Text=order completed successfully" not found for web_reg_find  	[MsgId: MERR-26366]
Action.c(509): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 20.	[MsgId: MMSG-10545]
Action.c(468): Notify: Transaction "chekout" ended with a "Pass" status (Duration: 8,7386 Think Time: 5,0062 Wasted Time: 0,0000).	[MsgId: MMSG-16870]
Action.c(469): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(474): Notify: Transaction "pay_now" started.	[MsgId: MMSG-16999]
Action.c(476): web_add_header("SOAPAction") started  	[MsgId: MMSG-26355]
Action.c(476): web_add_header("SOAPAction") was successful  	[MsgId: MMSG-26392]
Action.c(479): lr_think_time: 5,00 seconds.	[MsgId: MMSG-15948]
Action.c(481): web_custom_request("UpdateMasterCreditMethodRequest") started  	[MsgId: MMSG-26355]
Action.c(481): Connection to www.googletagmanager.com:443 closed after being inactive for 63 seconds, exceeding the "HTTP Keep-Alive timeout" Runtime Setting (60 seconds). URL="[None]"  	[MsgId: MMSG-27647]
Action.c(481): ssl_handle_status encounter error : SSL_ERROR_SYSCALL, error id : 0  	[MsgId: MMSG-26000]
